NOC,Gold,Silver,Bronze,Total
USA,44,32,25,101
RUS,26,21,16,63
GER,20,18,27,65
CHN,16,22,12,50
FRA,15,7,15,37
ITA,13,10,12,35
AUS,9,9,23,41
CUB,9,8,8,25
UKR,9,2,12,23
KOR,7,15,5,27
POL,7,5,5,17
HUN,7,4,10,21
ESP,5,6,6,17
ROU,4,7,9,20
NED,4,5,10,19
GRE,4,4,0,8
CZE,4,3,4,11
SUI,4,3,0,7
DEN,4,1,1,6
TUR,4,1,1,6
CAN,3,11,8,22
BUL,3,7,5,15
JPN,3,6,5,14
KAZ,3,4,4,11
BRA,3,3,9,15
NZL,3,2,1,6
RSA,3,1,1,5
IRL,3,0,1,4
SWE,2,4,2,8
NOR,2,2,3,7
BEL,2,2,2,6
NGR,2,1,3,6
PRK,2,1,2,5
ETH,2,0,1,3
ALG,2,0,1,3
GBR,1,8,6,15
BLR,1,6,8,15
KEN,1,4,3,8
JAM,1,3,2,6
FIN,1,2,1,4
YUG,1,1,2,4
INA,1,1,2,4
SVK,1,1,1,3
IRI,1,1,1,3
CRO,1,1,0,2
ARM,1,1,0,2
POR,1,0,1,2
THA,1,0,1,2
HKG,1,0,0,1
CRC,1,0,0,1
BDI,1,0,0,1
SYR,1,0,0,1
ECU,1,0,0,1
ARG,0,2,1,3
SLO,0,2,0,2
NAM,0,2,0,2
AUT,0,1,2,3
UZB,0,1,1,2
MAS,0,1,1,2
MDA,0,1,1,2
PHI,0,1,0,1
BAH,0,1,0,1
ZAM,0,1,0,1
AZE,0,1,0,1
LAT,0,1,0,1
TPE,0,1,0,1
TGA,0,1,0,1
GEO,0,0,2,2
TTO,0,0,2,2
MAR,0,0,2,2
TUN,0,0,1,1
UGA,0,0,1,1
LTU,0,0,1,1
MEX,0,0,1,1
MGL,0,0,1,1
IND,0,0,1,1
MOZ,0,0,1,1
PUR,0,0,1,1
