NOC,Gold,Silver,Bronze,Total
USA,37,24,32,93
RUS,32,28,29,89
CHN,28,16,14,58
AUS,16,25,17,58
GER,13,17,26,56
FRA,13,14,11,38
ITA,13,8,13,34
NED,12,9,4,25
CUB,11,11,7,29
GBR,11,10,7,28
ROU,11,6,9,26
KOR,8,10,10,28
HUN,8,6,3,17
POL,6,5,3,14
JPN,5,8,5,18
BUL,5,6,2,13
GRE,4,6,3,13
SWE,4,5,3,12
NOR,4,3,3,10
ETH,4,1,3,8
UKR,3,10,10,23
KAZ,3,4,0,7
BLR,3,3,11,17
CAN,3,3,8,14
ESP,3,3,5,11
TUR,3,0,2,5
IRI,3,0,1,4
CZE,2,3,3,8
KEN,2,3,2,7
DEN,2,3,1,6
FIN,2,1,1,4
AUT,2,1,0,3
LTU,2,0,3,5
BAH,2,0,1,3
AZE,2,0,1,3
SLO,2,0,0,2
SUI,1,6,2,9
INA,1,3,2,6
SVK,1,3,1,5
MEX,1,2,3,6
NGR,1,2,0,3
ALG,1,1,3,5
UZB,1,1,2,4
YUG,1,1,1,3
LAT,1,1,1,3
NZL,1,0,3,4
THA,1,0,2,3
EST,1,0,2,3
CRO,1,0,1,2
CMR,1,0,0,1
COL,1,0,0,1
MOZ,1,0,0,1
BRA,0,6,6,12
JAM,0,6,3,9
BEL,0,2,3,5
RSA,0,2,3,5
ARG,0,2,2,4
MAR,0,1,4,5
TPE,0,1,4,5
PRK,0,1,3,4
TTO,0,1,1,2
KSA,0,1,1,2
MDA,0,1,1,2
URU,0,1,0,1
VIE,0,1,0,1
IRL,0,1,0,1
SRI,0,1,0,1
GEO,0,0,6,6
CRC,0,0,2,2
POR,0,0,2,2
BAR,0,0,1,1
QAT,0,0,1,1
KGZ,0,0,1,1
IND,0,0,1,1
ARM,0,0,1,1
KUW,0,0,1,1
MKD,0,0,1,1
CHI,0,0,1,1
ISL,0,0,1,1
