NOC,Gold,Silver,Bronze,Total
USA,36,39,26,101
CHN,32,17,15,64
RUS,28,26,36,90
AUS,17,16,17,50
JPN,16,9,12,37
GER,13,16,20,49
FRA,11,9,13,33
ITA,10,11,11,32
KOR,9,12,9,30
GBR,9,9,12,30
CUB,9,7,11,27
HUN,8,6,3,17
UKR,8,5,9,22
ROU,8,5,6,19
GRE,6,6,4,16
BRA,5,2,3,10
NOR,5,0,1,6
NED,4,9,9,22
SWE,4,2,1,7
ESP,3,11,6,20
CAN,3,6,3,12
TUR,3,4,4,11
POL,3,2,5,10
NZL,3,2,0,5
THA,3,1,4,8
BLR,2,5,7,14
AUT,2,4,1,7
ETH,2,3,2,7
IRI,2,2,2,6
SVK,2,2,2,6
TPE,2,2,1,5
GEO,2,2,0,4
BUL,2,1,9,12
DEN,2,1,5,8
UZB,2,1,2,5
JAM,2,1,2,5
MAR,2,1,0,3
ARG,2,0,4,6
CHI,2,0,1,3
KAZ,1,4,3,8
KEN,1,4,2,7
CZE,1,3,5,9
RSA,1,3,2,6
CRO,1,2,2,5
LTU,1,2,0,3
SUI,1,1,3,5
EGY,1,1,3,5
INA,1,1,2,4
ZIM,1,1,1,3
AZE,1,0,4,5
BEL,1,0,2,3
ISR,1,0,1,2
BAH,1,0,1,2
DOM,1,0,0,1
CMR,1,0,0,1
UAE,1,0,0,1
PRK,0,4,1,5
LAT,0,4,0,4
MEX,0,3,1,4
POR,0,2,1,3
FIN,0,2,0,2
SCG,0,2,0,2
SLO,0,1,3,4
EST,0,1,2,3
HKG,0,1,0,1
IND,0,1,0,1
PAR,0,1,0,1
COL,0,0,2,2
NGR,0,0,2,2
VEN,0,0,2,2
SYR,0,0,1,1
TTO,0,0,1,1
ERI,0,0,1,1
MGL,0,0,1,1
