NOC,Gold,Silver,Bronze,Total
USA,39,41,33,113
CHN,38,32,19,89
JPN,27,14,17,58
GBR,22,20,22,64
ROC,20,28,23,71
AUS,17,7,22,46
NED,10,12,14,36
FRA,10,12,11,33
GER,10,11,16,37
ITA,10,10,20,40
CAN,7,7,10,24
BRA,7,6,8,21
NZL,7,6,7,20
CUB,7,3,5,15
HUN,6,7,7,20
KOR,6,4,10,20
POL,4,5,5,14
CZE,4,4,3,11
KEN,4,4,2,10
NOR,4,2,2,8
JAM,4,1,4,9
ESP,3,8,6,17
SWE,3,6,0,9
SUI,3,4,6,13
DEN,3,4,4,11
CRO,3,3,2,8
IRI,3,2,2,7
SRB,3,1,5,9
BEL,3,1,3,7
BUL,3,1,2,6
SLO,3,1,1,5
UZB,3,0,2,5
GEO,2,5,1,8
TPE,2,4,6,12
TUR,2,2,9,13
UGA,2,1,1,4
GRE,2,1,1,4
ECU,2,1,0,3
IRL,2,0,2,4
QAT,2,0,1,3
BAH,2,0,0,2
KOS,2,0,0,2
UKR,1,6,12,19
BLR,1,3,3,7
ROU,1,3,0,4
VEN,1,3,0,4
IND,1,2,4,7
HKG,1,2,3,6
SVK,1,2,1,4
PHI,1,2,1,4
RSA,1,2,0,3
AUT,1,1,5,7
EGY,1,1,4,6
INA,1,1,3,5
ETH,1,1,2,4
POR,1,1,2,4
TUN,1,1,0,2
EST,1,0,1,2
FIJ,1,0,1,2
THA,1,0,1,2
LAT,1,0,1,2
BER,1,0,0,1
PUR,1,0,0,1
MAR,1,0,0,1
COL,0,4,1,5
AZE,0,3,4,7
DOM,0,3,2,5
ARM,0,2,2,4
KGZ,0,2,1,3
MGL,0,1,3,4
SMR,0,1,2,3
ARG,0,1,2,3
JOR,0,1,1,2
MAS,0,1,1,2
NGR,0,1,1,2
MKD,0,1,0,1
NAM,0,1,0,1
LTU,0,1,0,1
TKM,0,1,0,1
KSA,0,1,0,1
BRN,0,1,0,1
KAZ,0,0,8,8
MEX,0,0,4,4
FIN,0,0,2,2
BUR,0,0,1,1
SYR,0,0,1,1
GRN,0,0,1,1
MDA,0,0,1,1
CIV,0,0,1,1
BOT,0,0,1,1
GHA,0,0,1,1
KUW,0,0,1,1
