Review,label
"up to this point i ’ ve mostly been using chatgpt on my windows desktop using google chrome. while it ’ s doable, screen reader navigation is pretty difficult on the desktop site and you really have to be an advanced user to find your way through it. i have submitted numerous feedbacks to open ai about this but nothing has changed on that front. well, the good news – the ios app pretty much addresses all of those problems. the ui seems really clean, uncluttered and designed well to be compatible with voiceover, the screen reader built into ios. i applaud the inclusivity of this design – i only wish they would give the same attention and care to the accessibility experience of the desktop app. i would have given this review five stars but i have just a couple minor quibbles. first, once i submit my prompt, voiceover starts to read aloud chatgpt ‘ s response before that response is finished, so i will hear the first few words of the response followed by voiceover reading aloud the “ stop generating ” button, which isn ’ t super helpful. it would be great if you could better coordinate this alert so that it didn ’ t start reading the message until it had been fully generated. the other thing i ’ d like is a feedback button easily accessible from within the main screen of the app, to make it as easy as possible to get continuing suggestions and feedback from your users. otherwise, fantastic app so far!",NEGATIVE
"i ’ ve been a user since it ’ s initial roll out and have been waiting for a mobile application ever since using the web app. for reference i ’ m a software engineering student while working in it full time. i have to say gpt is an crucial tool. it takes far less time to get information quickly that you ’ d otherwise have to source from stack - overflow, various red - hat articles, ubuntu articles, searching through software documentation, microsoft documentation ect. typically chat gpt can find the answer in a fraction of a second that google can. obviously it is wrong, a lot. but to have the ability to get quick information on my phone like i can in the web browser i ’ m super excited about and have already been using the mobile app since download constantly. and i ’ m excited for the future of this program becoming more accurate and it seems to be getting more and more precise with every roll out. gone are the days scouring the internet for obscure pieces of information, chat gpt can find it for you with 2 or 3 prompts. i love this app and i ’ m so happy it ’ s on mobile now. the ui is also very sleek, easy to use. my only complaint with the interface is the history tab at the top right. i actually prefer the conversation tabs on the left in the web app but i understand it would make the app kind of clunky especially on mobile since the screen size is smaller. anyway, awesome app 5 stars.",NEGATIVE
"this app would almost be perfect if it wasn ’ t for one little thing : a “ search in ” function. as anyone can imagine, these ai chats can get quuuuite long, and quite lengthy. and sometimes i wanna go into a chat & look up a specific part or parts of that particular chat by using a search function to look up key words within that chat & track down whatever part i was looking for. for example, in a chat, if i had searched way early into the chat “ how do lions hunt? ” and say days later, i wanted to revisit that particular response, i wanna be able to go into the actual chat go to a “ search in ” function and be able to type in key words like “ lions ” or “ hunt ” to be able to automatically find that part in the chat instead of having to scroll through a massive chat to find that part. similar to what you can do in microsoft word docs, or even on web browsers. i think the app already kind of has this, but it doesn ’ t work exactly like that. i tested it out, and all it does is, you type in key words, and it shows you that those words are present in the chat or chats, but it doesn ’ t actually track it down or take you to that specific part. if this app can have that? it ’ s an absolute massive perfect winner. addendum - i also noticed that my phone ( iphone 14 pro max ) tends to run a little hotter, which i ’ m sure will affect battery life, when using the app. just wanted to add that too.",NEGATIVE
"i recently downloaded the app and overall, it's a great platform with excellent potential. however, i did encounter a couple of issues with logging in that i feel need to be addressed. firstly, the login process was somewhat cumbersome. it took me a few attempts to successfully log in, as the app didn't always recognize my credentials right away. this could be improved by streamlining the login flow and ensuring a smoother user experience. secondly, the app occasionally experienced login glitches, where it would unexpectedly log me out without any apparent reason. it was frustrating to have to re - enter my login information repeatedly, disrupting my usage. despite these issues, i must say that once i managed to log in successfully, the app itself was fantastic. it offers a wide range of features and a sleek user interface that is visually appealing. the content available on the platform is diverse and engaging, keeping me entertained for hours. i do hope the developers take note of the login challenges and work on improving this aspect of the app. with a more reliable login system, this app has the potential to become a top - tier platform. in conclusion, while the app has its share of login issues, it still holds promise. i'm optimistic that with some updates and improvements, it can provide an even better user experience. i look forward to seeing future enhancements and continued growth of the app.",POSITIVE
"i appreciate the devs implementing siri support — it is already enhancing the usefulness of the app, despite being a little clunky. i ’ d prefer if it were possible to make a query in one fell swoop, however. currently, it seems like i have to say “ ask chatgpt ” then wait to be asked what my query is before saying the actual query. i know that it ’ s possible in other contexts to submit a request to a third - party app through siri in a single query — i ’ m able to say “ create a reminder for xyz in things, ” for example. in addition, the responses produced when querying siri seem identical to those you would get in - app. this isn ’ t actually ideal in a scenario when you ’ re getting a spoken response — they just go on for way too long. i wonder if the app could be smart enough to recognize that a request was coming via siri and then effectively append an invisible “ please answer in less than 50 words ” to those requests. otherwise, a solid but basic chat app that closely replicates the web experience. aside from being uncannily good at punctuating my speech, the dictation feature is not really any different to ios ’ s stock dictation and is not all that useful.",NEGATIVE
"no doubt, this technology is absolutely life - changing, especially for me. you don ’ t know how thankful i am. however, i ’ m not reviewing the underlying technology, i ’ m reviewing its implementation on ios. i use it for about 12 hours a day for my work, so i ’ m a bit picky. but it seems to me like you should have the resources to do a great job here. 1. why does the app not work in the background? if i send a request, i have to stay in the app to wait for it. that ’ s just horrible, and it ’ s completely unnecessary because you ’ re doing everything in the cloud anyway. just finish processing and send a notification when you ’ re done, especially for browsing features. i don ’ t care if it takes 10 minutes to find the answer. i ’ d be glad if it ’ s browsing in the background. ( to browse in the application as of may 24, start a conversation in the browser, select the browsing option, then switch back to the app. browsing is still in beta, and you cannot select it directly in the application, which is fine. ) 2. please add the option to choose chat gpt4 as a default. i never use gpt 3. 5, and it ’ s annoying to have to switch every time. 3. don ’ t let the speech - to - text button disappear once there is any text. if there is any text and speech recognition is started, just append. ( the speech recognition is completely amazing, congratulations! ) as soon as those features are ready, i ’ ll be glad to give five stars. thank you very much.",NEGATIVE
"please provide a tablet experience on ipad with the collapsible list of history on the left and chat on the right - similar to your desktop browser app. 2 ) while generating responses on the desktop browser, it pauses and keeps displaying “ continue generating responses ” button for every few items / responses forcing to click the button repeatedly. during generation, there is a button to “ stop generating responses ” - if we need to stop, we can always click this button - there is no need to pause and ask us to click continue again and again which is a bad ux. 3 ) there is no way to delete individual chat items from a chat history list of items to clean up the list. eg : i open a chat history and it has 10 questions but i ’ m not able to delete 2 questions from this list on long tapping on the questions. 4 ) if i ask for “ top 20 ”, it generates just 10 answers and displays “ please let me know if you ’ d like more “ but no option to generate more responses to the question. either generate all 20 answers ( ideally ) or provide an option to continue generation. please provide options to delete questions from a history and also move questions / responses to another history. please offer these features and i ’ ll gladly give it 5 stars. cheers!",NEGATIVE
"chat gpt is seriously underrated, dude! i mean, this mobile app is a total game - changer for everyday life. it's like having a super smart buddy in your pocket, ready to give you answers, explanations, and insights on anything you throw at it. got a burning question? boom, chat gpt's got your back, no problemo! but wait, there's more! this app is also an awesome conversation partner. when you're itching for a chat, even if your buddies are busy, chat gpt's got you covered. and the best part? it's always there, ready to shoot the breeze whenever and wherever, right on your mobile. you know what else? chat gpt adapts to your needs, man. need help making decisions? it's got your back. want some creative inspiration? it's got that too. this app is like a swiss army knife, always ready with the right tool for the job. and as you use it, you're not just getting answers, you're also growing your brain with the cool stuff you learn along the way. so, let's give it up for chat gpt, the unsung hero of mobile apps! it's time to appreciate how it makes our lives easier, more interesting, and way more fun. cheers to chat gpt, bro! * i wrote this review with only about 3 or 4 prompts using chat gpt this should show you the power of this mobile app. i definitely will be getting the premium version soon. i just wish the interface was more entertaining however it ’ s basic interface helps you focus on the task at hand *",POSITIVE
"on this app, as opposed to on the website, it feels like answers appear quicker. that ’ s great, and really the reason i downloaded the app because i suspected there may be a better connection to the servers. my complaints are that it takes two taps to get to the history, and it ’ s not overly obvious how to access it. i like to be able to continue past conversations easily, and it was slightly more difficult on this app than on the website. ( it ’ s kind of a nitpick, but it ’ s still something i would like to see changed ) the ui is extremely simple, and the settings include everything i would want in there. my last complaint is the haptics. it ’ s default is on, and i wouldn ’ t mind that except that it ’ s a little excessive. i don ’ t want to feel like chatgpt is banging the answer on the back of my phone every time i prompt it. you can turn haptics off if you want though, without even needing to go into the settings app. other than those minor complaints, it seems like this is a great app, and serves its purpose in an elegant manner. i would highly recommend.",POSITIVE
"there ’ s been times of apps touting they are chat gpt or they use chat gpt software but this is the original and only official chat gpt 4 app created by open ai so no need to pay for any other apps. they are constantly updating and adding features, and i suggest upgrading to plus and paying that cost so you can access plug - ins. the founders of this app and the whole team have done such a incredible job. this is the only one you mean when it comes to ai software has given everyone a level playing field pretty much and it ’ s gonna catch me to change everything. the time we ’ re living in now akin to the gold rush or the industrial revolution. take advantage before it becomes crowded. the power dynamics are shifting. now that others are able to access information that was previously not available or very hard to access is there for everyone to make moves and better their lives. instead of focusing on all the jobs that will be lost think about all the jobs that will be created or that you can create using this technology.",POSITIVE
