Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site
1001,25,Female,City D,45000,"[{""Date"": ""2022-03-05"", ""Category"": ""Clothing"", ""Price"": 34.99}, {""Date"": ""2022-02-12"", ""Category"": ""Electronics"", ""Price"": 129.99}, {""Date"": ""2022-01-20"", ""Category"": ""Home & Garden"", ""Price"": 29.99}]","[{""Timestamp"": ""2022-03-10T14:30:00Z""}, {""Timestamp"": ""2022-03-11T09:45:00Z""}, {""Timestamp"": ""2022-03-12T16:20:00Z""}]","Great pair of jeans, very comfortable. Rating: 4 stars.",32.5
1001,28,Female,City D,52000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-05-15"", ""Price"": 34.56}, {""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-06-02"", ""Price"": 150.99}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-05-12T13:30:00Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-06-05T08:45:00Z""}]",Great customer service!,123.45
1001,28,Female,City D,65000,"[{""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-08-15"", ""Price"": 345.5}, {""Product Category"": ""Home & Garden"", ""Purchase Date"": ""2022-07-02"", ""Price"": 279.99}]","[{""Product Category"": ""Clothing"", ""Timestamp"": ""2022-09-03 15:30:00""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-09-01 10:15:00""}]",Great electronics. The sound quality is excellent. I would highly recommend this product.,125.6
1001,45,Female,City D,70000,"{'Purchase Date': '2022-08-15', 'Product Category': 'Electronics', 'Price': 200.5},{'Purchase Date': '2022-07-22', 'Product Category': 'Clothing', 'Price': 125.6},{'Purchase Date': '2022-06-01', 'Product Category': 'Home & Garden', 'Price': 300.8},{'Purchase Date': '2022-05-10', 'Product Category': 'Electronics', 'Price': 150.9}",{'Timestamp': '2022-09-03 14:30:00'},"{""Product 1"": {""Rating"": 4, ""Review"": ""Great experience buying this product. Fast delivery and excellent customer service.""}}",327.6
1002,34,Male,City E,45000,"{'Purchase Date': '2022-07-25', 'Product Category': 'Clothing', 'Price': 67.2},{'Purchase Date': '2022-06-08', 'Product Category': 'Home & Garden', 'Price': 250.1},{'Purchase Date': '2022-05-15', 'Product Category': 'Electronics', 'Price': 400.7}",{'Timestamp': '2022-08-10 17:15:00'},"{""Product 1"": {""Rating"": 3, ""Review"": ""Good product, but could have been better.""}}",214.9
1003,56,Other,City F,90000,"{'Purchase Date': '2022-09-01', 'Product Category': 'Electronics', 'Price': 300.2},{'Purchase Date': '2022-08-12', 'Product Category': 'Clothing', 'Price': 185.3},{'Purchase Date': '2022-07-28', 'Product Category': 'Home & Garden', 'Price': 200.9}",{'Timestamp': '2022-06-25 10:45:00'},"{""Product 1"": {""Rating"": 5, ""Review"": ""Awesome product, highly recommend it to everyone.""}}",486.3
1004,29,Female,City G,60000,"{'Purchase Date': '2022-07-20', 'Product Category': 'Electronics', 'Price': 150.8},{'Purchase Date': '2022-06-05', 'Product Category': 'Clothing', 'Price': 120.6},{'Purchase Date': '2022-05-18', 'Product Category': 'Home & Garden', 'Price': 350.1}",{'Timestamp': '2022-08-15 13:20:00'},"{""Product 1"": {""Rating"": 4, ""Review"": ""Great product, will definitely buy again.""}}",378.5
1005,42,Male,City H,75000,"{'Purchase Date': '2022-08-28', 'Product Category': 'Electronics', 'Price': 250.6},{'Purchase Date': '2022-07-15', 'Product Category': 'Clothing', 'Price': 115.7},{'Purchase Date': '2022-06-03', 'Product Category': 'Home & Garden', 'Price': 300.4}",{'Timestamp': '2022-09-12 16:35:00'},"{""Product 1"": {""Rating"": 3, ""Review"": ""Good product, but not worth the price.""}}",289.8
1006,51,Other,City I,85000,"{'Purchase Date': '2022-09-05', 'Product Category': 'Electronics', 'Price': 400.9},{'Purchase Date': '2022-08-18', 'Product Category': 'Clothing', 'Price': 195.3},{'Purchase Date': '2022-07-03', 'Product Category': 'Home & Garden', 'Price': 220.7}",{'Timestamp': '2022-06-28 09:00:00'},"{""Product 1"": {""Rating"": 5, ""Review"": ""Outstanding product, exceeded my expectations.""}}",456.2
1007,36,Female,City J,55000,"{'Purchase Date': '2022-07-27', 'Product Category': 'Electronics', 'Price': 120.5},{'Purchase Date': '2022-06-12', 'Product Category': 'Clothing', 'Price': 130.6},{'Purchase Date': '2022-05-28', 'Product Category': 'Home & Garden', 'Price': 320.8}",{'Timestamp': '2022-08-17 14:50:00'},"{""Product 1"": {""Rating"": 4, ""Review"": ""Good product, but could have been better.""}}",334.9
