SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1970.0;96529098145.3019
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1970.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1970.0;19258255567.0772
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1970.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1970.0;18938561984.3742
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1971.0;105122241142.473
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1971.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1971.0;21145908291.4477
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1971.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1971.0;20443916297.8747
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1972.0;114093960466.536
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1972.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1972.0;21348585059.0545
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1972.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1972.0;20351445118.2866
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1973.0;128098852238.508
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1973.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1973.0;21318612149.2593
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1973.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1973.0;21247336502.2128
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1974.0;128331727106.953
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1974.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1974.0;20522155333.2448
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1974.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1974.0;22891602469.5405
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1975.0;147784089492.708
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1975.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1975.0;22504347348.9889
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1975.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1975.0;25661776757.9086
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1976.0;159164252458.644
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1976.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1976.0;24189160758.7724
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Russian Federation;RUS;1976.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;South Africa;ZAF;1976.0;27072611047.3693
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;Brazil;BRA;1977.0;150435787426.787
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;China;CHN;1977.0;
General government final consumption expenditure (constant 2010 US$);NE.CON.GOVT.KD;India;IND;1977.0;25016306953.77
