SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Brazil;BRA;1970.0;8161.14862671669
GNI per capita (constant LCU);NY.GNP.PCAP.KN;China;CHN;1970.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;India;IND;1970.0;19506.7865341021
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Russian Federation;RUS;1970.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;South Africa;ZAF;1970.0;44427.9004180957
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Brazil;BRA;1971.0;8893.64603629344
GNI per capita (constant LCU);NY.GNP.PCAP.KN;China;CHN;1971.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;India;IND;1971.0;19389.5120033398
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Russian Federation;RUS;1971.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;South Africa;ZAF;1971.0;45270.3006795495
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Brazil;BRA;1972.0;9753.74501512362
GNI per capita (constant LCU);NY.GNP.PCAP.KN;China;CHN;1972.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;India;IND;1972.0;18847.6330462321
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Russian Federation;RUS;1972.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;South Africa;ZAF;1972.0;44738.8185269416
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Brazil;BRA;1973.0;10820.5836536221
GNI per capita (constant LCU);NY.GNP.PCAP.KN;China;CHN;1973.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;India;IND;1973.0;19032.0246093528
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Russian Federation;RUS;1973.0;
GNI per capita (constant LCU);NY.GNP.PCAP.KN;South Africa;ZAF;1973.0;45500.9395175148
GNI per capita (constant LCU);NY.GNP.PCAP.KN;Brazil;BRA;1974.0;11567.343677865
GNI per capita (constant LCU);NY.GNP.PCAP.KN;China;CHN;1974.0;
