SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1970.0;20.1217151103271
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1970.0;36.101426937755
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1970.0;11.368087941487
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1970.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1970.0;29.2946184250532
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1971.0;19.3932417234377
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1971.0;36.7901554316415
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1971.0;10.0465930261547
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1971.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1971.0;27.4977652478856
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1972.0;19.5859197251681
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1972.0;35.7177637321736
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1972.0;10.3928455631277
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1972.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1972.0;28.9682056279693
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1973.0;22.0141813282296
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1973.0;36.5470274326972
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1973.0;12.0860598802793
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1973.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1973.0;33.1578947368421
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1974.0;19.5180785296879
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1974.0;36.071447374191
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1974.0;9.76146452614684
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1974.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1974.0;35.3138744502199
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1975.0;22.8718651621994
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1975.0;38.0081551603882
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1975.0;12.7777411942207
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1975.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1975.0;30.1568154402895
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1976.0;20.7193063911459
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1976.0;34.1761935421267
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1976.0;15.2107397581788
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1976.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1976.0;29.3725847497565
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1977.0;21.4037641437421
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1977.0;36.7591666123077
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1977.0;14.5539614198032
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1977.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1977.0;30.0319669580469
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1978.0;21.7844052328751
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1978.0;39.2824413118658
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1978.0;14.0116705873025
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1978.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1978.0;30.9622813276579
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1979.0;20.7127868820086
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1979.0;37.1049123533549
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1979.0;14.308451753523
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1979.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1979.0;32.5573250375986
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1980.0;21.0933687756463
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1980.0;35.3106292952284
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1980.0;12.5019793445552
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1980.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1980.0;36.1901961997896
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1981.0;22.7050210240894
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1981.0;33.5836455799982
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1981.0;14.2313939863327
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1981.0;
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;South Africa;ZAF;1981.0;31.9603162961876
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Brazil;BRA;1982.0;20.4289635694343
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;China;CHN;1982.0;33.4336495283191
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;India;IND;1982.0;14.6805592952405
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;Russian Federation;RUS;1982.0;
