SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1970.0;0.0142180044
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1970.0;82300422990.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1970.0;53221820766.73
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1970.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1970.0;3854000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1971.0;0.0183399943
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1971.0;90389732880.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1971.0;50353435079.1899
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1971.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1971.0;3999000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1972.0;0.0247280085
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1972.0;91166020150.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1972.0;57415625160.1001
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1972.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1972.0;4756000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1973.0;0.0388589911
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1973.0;100730917010.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1973.0;81267460054.7301
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1973.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1973.0;6741000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1974.0;0.0506419967
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1974.0;101999231740.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1974.0;77484432169.91
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1974.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1974.0;8832000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1975.0;0.0835769959
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1975.0;115525787610.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1975.0;108882262861.58
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1975.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1975.0;8500000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1976.0;0.1227129921
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1976.0;102138972020.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1976.0;139652361861.58
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1976.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1976.0;9349000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1977.0;0.1938429773
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1977.0;119467291490.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1977.0;151395429492.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1977.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1977.0;10616000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1978.0;0.2872909903
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1978.0;144508415830.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1978.0;157871409774.02
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1978.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1978.0;12584000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1979.0;0.4563619196
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1979.0;152146974090.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1979.0;176798348063.45
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1979.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1979.0;15803000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1980.0;0.9498147368
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1980.0;161990374800.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1980.0;183857694274.33
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1980.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1980.0;23389000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1981.0;2.0254526735
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1981.0;165763260650.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1981.0;245883628742.6
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1981.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1981.0;23968000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1982.0;3.7545491457
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1982.0;179650705250.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1982.0;283708507718.48
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1982.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1982.0;24157000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1983.0;8.1421895027
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1983.0;195972184070.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1983.0;323299998324.78
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1983.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1983.0;26842000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1984.0;29.9940710068
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1984.0;249185688930.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1984.0;379277867792.53
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1984.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1984.0;29992000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1985.0;122.4332885742
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1985.0;317818530000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1985.0;457840715031.63
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1985.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1985.0;35483000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1986.0;287.021484375
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1986.0;364533173700.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1986.0;486801381255.56
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1986.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1986.0;39463000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1987.0;1072.7708740235
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1987.0;453107204930.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1987.0;601469212205.19
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Russian Federation;RUS;1987.0;
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;South Africa;ZAF;1987.0;42302000000.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;Brazil;BRA;1988.0;8786.7487792969
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;China;CHN;1988.0;575101745580.0
Gross domestic savings (current LCU);NY.GDS.TOTL.CN;India;IND;1988.0;784708656093.34
