SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1970.0;18.8338513008119
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1970.0;24.1402579549941
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1970.0;15.5361588782545
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1970.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1970.0;25.2736394040742
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1971.0;19.7728644424164
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1971.0;24.8462614677032
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1971.0;16.5857004538946
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1971.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1971.0;26.7826445712714
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1972.0;20.2955930415807
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1972.0;24.6270960115969
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1972.0;17.0524331666528
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1972.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1972.0;27.5855768059447
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1973.0;21.476563840745
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1973.0;24.2846642551339
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1973.0;15.9072851413438
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1973.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1973.0;26.222331529759
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1974.0;22.8133607429785
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1974.0;26.5576815185486
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1974.0;16.6044279898589
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1974.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1974.0;26.0335865653739
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1975.0;24.3649673409771
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1975.0;29.0478916170423
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1975.0;17.7147108390358
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1975.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1975.0;31.0012062726176
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1976.0;22.4901401848947
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1976.0;29.037200210801
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1976.0;18.4889478329647
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1976.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1976.0;32.1027993339407
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1977.0;21.3664458010275
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1977.0;28.1251138061538
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1977.0;18.7901926329006
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1977.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1977.0;30.8919629975388
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1978.0;22.2072175233127
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1978.0;29.3400305474377
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1978.0;19.3925362354025
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1978.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1978.0;27.94085082302
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1979.0;22.98367125802
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1979.0;28.3514408388555
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1979.0;20.3543140220659
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1979.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1979.0;27.5819444158306
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1980.0;22.9023178396745
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1980.0;28.5606132573974
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1980.0;19.6762401672784
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1980.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1980.0;27.7929070990902
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1981.0;22.9373713587194
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1981.0;27.2577140423572
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1981.0;19.8672538703487
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1981.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1981.0;29.1227181203579
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1982.0;21.4360659128008
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1982.0;28.2394193326262
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1982.0;21.0145131267942
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1982.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1982.0;28.9913449907813
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1983.0;18.1301221743738
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1983.0;28.1772688797515
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1983.0;20.5690677564982
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1983.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1983.0;27.9258650785502
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1984.0;16.8864041257774
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1984.0;29.321047033346
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1984.0;20.8504284664923
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1984.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1984.0;25.3601977143658
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1985.0;16.9483583877859
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1985.0;30.4312407901785
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1985.0;21.8032977678371
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1985.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1985.0;24.5883836082506
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1986.0;19.0931088921319
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1986.0;30.9595619449795
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1986.0;22.9009149861358
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1986.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1986.0;21.7183337762251
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1987.0;22.3046838854517
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1987.0;30.558436985113
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1987.0;24.44362326196
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1987.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1987.0;19.5792368816507
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Brazil;BRA;1988.0;22.7179885288334
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;China;CHN;1988.0;31.0528220163255
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;India;IND;1988.0;23.5719788859934
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;Russian Federation;RUS;1988.0;
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;South Africa;ZAF;1988.0;20.9205059593957
