Unnamed: 0, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,SimillarHTTP, Bwd Packets/s, Total Fwd Packets,Total Length of Fwd Packets, Flow Duration, Total Length of Bwd Packets, Total Backward Packets, Protocol, Inbound, Timestamp, Source Port, Min Packet Length, Fwd Packet Length Min,Flow ID, Packet Length Mean, Fwd Packet Length Max, Average Packet Size, ACK Flag Count, Avg Fwd Segment Size, Fwd Packet Length Mean,Flow Bytes/s, Max Packet Length, Protocol,Fwd Packets/s, Flow Packets/s,Total Length of Fwd Packets, Subflow Fwd Bytes, Destination Port, act_data_pkt_fwd, Label
24,10001143,1,0,0.0,0.0,0,0,0,0.0,45,0,114456999,0,0,0,0,2018-11-03 09:18:16.964447,0,0,0,192.168.50.254-224.0.0.5-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.39316076,0.39316076,0,0,0,0,BENIGN
26,9978130,0,0,0.0,0.0,0,0,0,0.0,56,0,114347504,0,0,0,0,2018-11-03 09:18:18.506537,0,0,0,192.168.50.253-224.0.0.5-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.48973522,0.48973522,0,0,0,0,BENIGN
176563,36373056,1,2,2.0,0.0,2,2,0,0.05489156,6,116,36435473,92,2,6,0,2018-11-03 09:18:18.610576,54799,6,6,172.217.10.98-192.168.50.6-443-54799-6,28.222221,46,31.75,0,19.333334,19.333334,5.7087226,46,6,0.16467468,0.21956624,116,116,443,5,BENIGN
50762,36372291,1,2,2.0,0.0,2,2,0,0.05489272,6,116,36434705,92,2,6,0,2018-11-03 09:18:18.610579,54800,6,6,172.217.7.2-192.168.50.6-443-54800-6,28.222221,46,31.75,0,19.333334,19.333334,5.7088428,46,6,0.16467816,0.21957088,116,116,443,5,BENIGN
87149,36372216,1,2,2.0,0.0,2,2,0,0.054892838,6,116,36434626,92,2,6,0,2018-11-03 09:18:18.610581,54801,6,6,172.217.10.98-192.168.50.6-443-54801-6,28.222221,46,31.75,0,19.333334,19.333334,5.708855000000001,46,6,0.16467851,0.21957135,116,116,443,5,BENIGN
0,3,3,0,0.0,0.0,0,0,0,0.0,2,12,3,0,0,6,0,2018-11-03 09:18:18.626325,54805,6,6,172.217.9.238-192.168.50.6-80-54805-6,6.0,6,9.0,0,6.0,6.0,4000000.0,6,6,666666.7,666666.7,12,12,80,1,BENIGN
1,2,2,0,0.0,0.0,0,0,0,0.0,2,12,2,0,0,6,1,2018-11-03 09:18:18.667379,80,6,6,172.217.9.238-192.168.50.6-80-54805-6,6.0,6,9.0,0,6.0,6.0,6000000.0,6,6,1000000.0,1000000.0,12,12,54805,1,BENIGN
144429,2,2,0,0.0,0.0,0,0,0,0.0,2,12,2,0,0,6,0,2018-11-03 09:18:18.667575,54805,6,6,172.217.9.238-192.168.50.6-80-54805-6,6.0,6,9.0,0,6.0,6.0,6000000.0,6,6,1000000.0,1000000.0,12,12,80,1,BENIGN
224,10912366,2501634,0,0.0,0.0,0,0,0,0.0,5,1500,28870362,0,0,17,0,2018-11-03 09:18:18.758942,68,300,300,255.255.255.255-0.0.0.0-67-68-17,300.0,300,360.0,0,300.0,300.0,51.956398,300,17,0.17318799,0.17318799,1500,1500,67,4,BENIGN
25,18391518,2,118365549,3035014.0,4931780.0,18391527,1,0,0.3379357,40,0,118365715,0,40,0,1,2018-11-03 09:18:19.155867,0,0,0,172.16.0.5-192.168.50.4-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.3379357,0.6758714,0,0,0,0,Portmap
106278,34372952,2,2,2.0,0.0,2,2,0,0.05808002,6,116,34435249,92,2,6,0,2018-11-03 09:18:20.610850,54802,6,6,172.217.10.65-192.168.50.6-443-54802-6,28.222221,46,31.75,0,19.333334,19.333334,6.0403223,46,6,0.17424007,0.23232009,116,116,443,5,BENIGN
144357,34372904,0,3,3.0,0.0,3,3,0,0.05808011,6,116,34435196,92,2,6,0,2018-11-03 09:18:20.610854,54803,6,6,172.217.7.2-192.168.50.6-443-54803-6,28.222221,46,31.75,0,19.333334,19.333334,6.0403314,46,6,0.17424034,0.23232044,116,116,443,5,BENIGN
101188,34363516,1,3,3.0,0.0,3,3,0,0.058095984,6,116,34425788,92,2,6,0,2018-11-03 09:18:20.610876,54804,6,6,172.217.12.206-192.168.50.6-443-54804-6,28.222221,46,31.75,0,19.333334,19.333334,6.041982,46,6,0.17428795,0.23238394,116,116,443,5,BENIGN
3,217,1,0,0.0,0.0,0,0,0,0.0,4,123,221,0,0,6,0,2018-11-03 09:18:26.989249,57658,0,0,192.168.50.9-35.158.163.158-57658-443-6,33.8,46,42.25,0,30.75,30.75,556561.06,46,6,18099.547,18099.547,123,123,443,2,BENIGN
2,166,1,0,0.0,0.0,0,0,0,0.0,5,154,171,0,0,6,0,2018-11-03 09:18:26.989253,37652,0,0,192.168.50.9-54.192.55.39-37652-443-6,33.333332,46,40.0,0,30.8,30.8,900584.8,46,6,29239.766,29239.766,154,154,443,3,BENIGN
5,255,1,0,0.0,0.0,0,0,0,0.0,4,102,258,0,0,6,0,2018-11-03 09:18:26.989319,41488,0,0,192.168.50.9-93.184.216.180-41488-443-6,28.2,39,35.25,0,25.5,25.5,395348.84,39,6,15503.876,15503.876,102,102,443,2,BENIGN
8,0,0,303,151.5,211.42493,301,2,0,76.46624,1,0,39233,0,3,6,0,2018-11-03 09:18:26.989425,37652,0,0,192.168.50.9-54.192.55.39-37652-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,25.488747,101.95499000000001,0,0,443,0,BENIGN
4,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 09:18:26.989471,57658,0,0,192.168.50.9-35.158.163.158-57658-443-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
6,1,1,0,0.0,0.0,0,0,0,0.0,2,24,1,0,0,6,0,2018-11-03 09:18:26.989578,41488,0,0,192.168.50.9-93.184.216.180-41488-443-6,16.0,24,24.0,0,12.0,12.0,24000000.0,24,6,2000000.0,2000000.0,24,24,443,0,BENIGN
7,2,2,0,0.0,0.0,0,0,0,0.0,3,48,4,0,0,6,1,2018-11-03 09:18:27.017413,443,0,0,192.168.50.9-93.184.216.180-41488-443-6,18.0,24,24.0,0,16.0,16.0,12000000.0,24,6,750000.0,750000.0,48,48,41488,1,BENIGN
30980,429,1,422,84.4,185.37071,416,1,0,11787.819,3,0,509,36,6,6,1,2018-11-03 09:18:27.017418,443,0,0,192.168.50.9-93.184.216.180-41488-443-6,3.6,0,4.0,0,0.0,0.0,70726.914,6,6,5893.9097,17681.729,0,0,41488,0,BENIGN
59674,0,0,3,3.0,0.0,3,3,0,20833.334,1,0,96,0,2,6,1,2018-11-03 09:18:27.028659,443,0,0,192.168.50.9-54.192.55.39-37652-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,10416.667,31250.0,0,0,37652,0,BENIGN
9,3,1,0,0.0,0.0,0,0,0,0.0,3,0,4,0,0,6,1,2018-11-03 09:18:27.096759,443,0,0,192.168.50.9-35.158.163.158-57658-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,750000.0,750000.0,0,0,57658,0,BENIGN
101853,0,0,2,2.0,0.0,2,2,0,28985.507999999998,1,0,69,0,2,6,1,2018-11-03 09:18:27.096764,443,0,0,192.168.50.9-35.158.163.158-57658-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,14492.753999999999,43478.26,0,0,57658,0,BENIGN
10,56,1,0,0.0,0.0,0,0,0,0.0,4,123,60,0,0,6,0,2018-11-03 09:18:27.989374,60096,0,0,172.217.197.154-192.168.50.9-443-60096-6,33.8,46,42.25,0,30.75,30.75,2050000.0,46,6,66666.664,66666.664,123,123,443,2,BENIGN
11,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 09:18:27.989435,60096,0,0,172.217.197.154-192.168.50.9-443-60096-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
12,3,1,0,0.0,0.0,0,0,0,0.0,3,0,4,0,0,6,1,2018-11-03 09:18:28.043168,443,0,0,172.217.197.154-192.168.50.9-443-60096-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,750000.0,750000.0,0,0,60096,0,BENIGN
146252,1,1,2,2.0,0.0,2,2,0,27777.777000000002,3,0,72,0,2,6,1,2018-11-03 09:18:28.043173,443,0,0,172.217.197.154-192.168.50.9-443-60096-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,41666.668,69444.445,0,0,60096,0,BENIGN
80176,169800,2,3,3.0,0.0,3,3,0,11.778216,4,24,169805,12,2,6,1,2018-11-03 09:18:31.069479,52312,6,6,172.16.0.5-192.168.50.4-52312-51989-6,6.0,6,7.0,1,6.0,6.0,212.00789,6,6,23.556433,35.33465,24,24,51989,3,Portmap
31,38788130,1,0,0.0,0.0,0,0,0,0.0,18,0,117049586,0,0,0,0,2018-11-03 09:18:33.200834,0,0,0,8.0.6.4-8.6.0.1-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.15378098,0.15378098,0,0,0,0,BENIGN
116215,6021681,3,0,0.0,0.0,0,0,0,0.0,6,0,9029034,0,0,6,1,2018-11-03 09:18:33.202993,59593,0,0,192.168.10.50-192.168.50.8-21-59593-6,0.0,0,0.0,1,0.0,0.0,0.0,0,6,0.6645229,0.6645229,0,0,21,0,BENIGN
13,106,1,0,0.0,0.0,0,0,0,0.0,4,123,110,0,0,6,0,2018-11-03 09:18:34.989670,37312,0,0,192.168.50.9-23.194.108.29-37312-443-6,33.8,46,42.25,0,30.75,30.75,1118181.9,46,6,36363.637,36363.637,123,123,443,2,BENIGN
14,2,2,0,0.0,0.0,0,0,0,0.0,2,31,2,0,0,6,0,2018-11-03 09:18:34.989781,37312,0,0,192.168.50.9-23.194.108.29-37312-443-6,20.666666,31,31.0,0,15.5,15.5,15500000.0,31,6,1000000.0,1000000.0,31,31,443,0,BENIGN
15,927,1,0,0.0,0.0,0,0,0,0.0,5,62,932,0,0,6,1,2018-11-03 09:18:35.012130,443,0,0,192.168.50.9-23.194.108.29-37312-443-6,10.333333,31,12.4,0,12.4,12.4,66523.6,31,6,5364.8066,5364.8066,62,62,37312,2,BENIGN
52089,0,0,3,1.0,1.0,2,0,0,65573.77,1,0,61,24,4,6,1,2018-11-03 09:18:35.013064,443,0,0,192.168.50.9-23.194.108.29-37312-443-6,4.0,0,4.8,0,0.0,0.0,393442.62,6,6,16393.443,81967.21,0,0,37312,0,BENIGN
18,192,1,0,0.0,0.0,0,0,0,0.0,4,123,196,0,0,6,0,2018-11-03 09:18:35.989729,48208,0,0,192.168.50.9-52.28.108.167-48208-443-6,33.8,46,42.25,0,30.75,30.75,627551.0,46,6,20408.164,20408.164,123,123,443,2,BENIGN
16,124,1,0,0.0,0.0,0,0,0,0.0,4,123,126,0,0,6,0,2018-11-03 09:18:35.989734,48200,0,0,192.168.50.9-52.28.108.167-48200-443-6,33.8,46,42.25,0,30.75,30.75,976190.5,46,6,31746.031000000003,31746.031000000003,123,123,443,2,BENIGN
17,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 09:18:35.989862,48200,0,0,192.168.50.9-52.28.108.167-48200-443-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
19,1,1,0,0.0,0.0,0,0,0,0.0,2,31,1,0,0,6,0,2018-11-03 09:18:35.989927,48208,0,0,192.168.50.9-52.28.108.167-48208-443-6,20.666666,31,31.0,0,15.5,15.5,31000000.0,31,6,2000000.0,2000000.0,31,31,443,0,BENIGN
20,2,2,0,0.0,0.0,0,0,0,0.0,3,0,4,0,0,6,1,2018-11-03 09:18:36.089795,443,0,0,192.168.50.9-52.28.108.167-48200-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,750000.0,750000.0,0,0,48200,0,BENIGN
184252,0,0,3,3.0,0.0,3,3,0,20202.02,1,0,99,0,2,6,1,2018-11-03 09:18:36.089800,443,0,0,192.168.50.9-52.28.108.167-48200-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,10101.01,30303.031000000003,0,0,48200,0,BENIGN
21,3,1,0,0.0,0.0,0,0,0,0.0,3,0,4,0,0,6,1,2018-11-03 09:18:36.090450,443,0,0,192.168.50.9-52.28.108.167-48208-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,750000.0,750000.0,0,0,48208,0,BENIGN
80125,0,0,3,3.0,0.0,3,3,0,21978.021,1,0,91,0,2,6,1,2018-11-03 09:18:36.090455,443,0,0,192.168.50.9-52.28.108.167-48208-443-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,10989.011,32967.03,0,0,48208,0,BENIGN
132288,155796,2,2,2.0,0.0,2,2,0,12.836888,4,24,155801,12,2,6,1,2018-11-03 09:18:40.118617,52312,6,6,172.16.0.5-192.168.50.4-52312-45389-6,6.0,6,7.0,1,6.0,6.0,231.06398,6,6,25.673776999999998,38.510666,24,24,45389,3,Portmap
107336,1,1,0,0.0,0.0,0,0,0,0.0,2,12,1,0,0,6,0,2018-11-03 09:18:55.045152,54560,6,6,192.168.50.6-54.213.45.184-54560-443-6,6.0,6,9.0,0,6.0,6.0,12000000.0,6,6,2000000.0,2000000.0,12,12,443,1,BENIGN
223,135789,4,2,2.0,0.0,2,2,0,14.727757,4,74,135798,70,2,6,1,2018-11-03 09:18:56.196595,443,6,6,192.168.50.8-34.209.30.112-59555-443-6,25.0,31,29.166665999999996,0,18.5,18.5,1060.3986,35,6,29.455515000000002,44.183273,74,74,59555,3,BENIGN
22207,90299,3,3,3.0,0.0,3,3,0,22.147167,4,24,90305,12,2,6,1,2018-11-03 09:19:08.308458,41860,6,6,172.16.0.5-192.168.50.4-41860-8988-6,6.0,6,7.0,1,6.0,6.0,398.64902,6,6,44.294334,66.441505,24,24,8988,3,Portmap
94381,6000383,3,0,0.0,0.0,0,0,0,0.0,6,0,9014948,0,0,6,1,2018-11-03 09:19:18.990625,54808,0,0,192.168.10.50-192.168.50.6-21-54808-6,0.0,0,0.0,1,0.0,0.0,0.0,0,6,0.66556126,0.66556126,0,0,21,0,BENIGN
129375,3,3,2,2.0,0.0,2,2,0,12269.938,2,12,163,12,2,6,1,2018-11-03 09:19:21.305456,46769,6,6,172.16.0.5-192.168.50.4-46769-445-6,6.0,6,7.5,1,6.0,6.0,147239.27,6,6,12269.938,24539.877,12,12,445,1,Portmap
22,2836095,1,10226377,262214.78,552288.25,2507844,1,0,3.9113523999999997,33,2918,10226642,4514,40,6,1,2018-11-03 09:19:25.195280,17369,0,0,172.16.0.5-192.168.50.4-17369-22-6,100.432434,648,101.80821999999999,1,88.42424,88.42424,726.72925,976,6,3.2268658,7.138217999999999,2918,2918,22,22,Portmap
23,0,0,0,0.0,0.0,0,0,0,1002.0039999999999,1,0,998,0,1,6,1,2018-11-03 09:19:35.421923,17369,0,0,172.16.0.5-192.168.50.4-17369-22-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,1002.0039999999999,2004.0079999999998,0,0,22,0,Portmap
15041,0,0,3,3.0,0.0,3,3,0,5.075021700000001,1,0,394087,0,2,6,0,2018-11-03 09:19:35.422922,22,0,0,172.16.0.5-192.168.50.4-17369-22-6,0.0,0,0.0,0,0.0,0.0,0.0,0,6,2.5375109,7.612532000000001,0,0,17369,0,Portmap
32171,3,3,3,3.0,0.0,3,3,0,95.02994,2,68,21046,100,2,17,0,2018-11-03 09:19:48.466875,60512,34,34,192.168.50.6-4.2.2.4-60512-53-17,40.4,34,50.5,0,34.0,34.0,7982.5146,50,17,95.02994,190.05988,68,68,53,1,BENIGN
155299,33535939,2,0,0.0,0.0,0,0,0,0.0,14,0,65028406,0,0,6,1,2018-11-03 09:20:06.641796,46826,0,0,192.168.10.50-192.168.50.9-22-46826-6,0.0,0,0.0,1,0.0,0.0,0.0,0,6,0.21529053,0.21529053,0,0,22,0,BENIGN
9443,101742,3,2,2.0,0.0,2,2,0,19.656406,4,24,101748,12,2,6,1,2018-11-03 09:20:15.304896,41077,6,6,172.16.0.5-192.168.50.4-41077-9740-6,6.0,6,7.0,1,6.0,6.0,353.8153,6,6,39.312813,58.96921999999999,24,24,9740,3,Portmap
91,9969397,1,0,0.0,0.0,0,0,0,0.0,39,0,112297650,0,0,0,0,2018-11-03 09:20:20.817794,0,0,0,192.168.50.254-224.0.0.5-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.34729132,0.34729132,0,0,0,0,BENIGN
135630,102963,2,2,2.0,0.0,2,2,0,19.42351,4,24,102968,12,2,6,1,2018-11-03 09:20:21.224510,41077,6,6,172.16.0.5-192.168.50.4-41077-10753-6,6.0,6,7.0,1,6.0,6.0,349.62317,6,6,38.84702,58.27053000000001,24,24,10753,3,Portmap
90,18496069,2,117015160,3000388.8,4998835.5,18496039,1,0,0.34183565,40,0,117015302,0,40,0,1,2018-11-03 09:20:21.641328,0,0,0,172.16.0.5-192.168.50.4-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.34183565,0.6836713000000001,0,0,0,0,Portmap
92,9820083,1,0,0.0,0.0,0,0,0,0.0,52,0,112958286,0,0,0,0,2018-11-03 09:20:22.734265,0,0,0,192.168.50.253-224.0.0.5-0-0-0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.46034694,0.46034694,0,0,0,0,BENIGN
61753,3,3,3,3.0,0.0,3,3,0,94.92169,2,64,21070,204,2,17,0,2018-11-03 09:20:30.250579,56022,32,32,192.168.50.8-4.2.2.4-56022-53-17,60.0,32,75.0,0,32.0,32.0,12719.507,102,17,94.92169,189.84338,64,64,53,1,BENIGN
27,561699,1,1590232,36982.14,88417.57,508546,1,0,26.778617999999998,32,2728,1643102,7450,44,6,0,2018-11-03 09:20:30.272464,59594,0,0,173.194.208.109-192.168.50.8-465-59594-6,132.18182,362,133.92105,1,85.25,85.25,6194.3813,2733,6,19.475359,46.253975,2728,2728,465,30,BENIGN
