name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
WWE 2K24,07-03-2024,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690
EARTH DEFENSE FORCE 6,25-07-2024,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060
Sins of a Solar Empire II,15-08-2024,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940
Legend of Mortal,14-06-2024,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910
Shin Megami Tensei V: Vengeance,13-06-2024,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830
Soulmask,30-05-2024,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460
The Universim,22-01-2024,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720
Bellwright,23-04-2024,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450
Night of the Dead,31-05-2024,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380
Empires of the Undergrowth,07-06-2024,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,13-06-2024,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430
ANIMAL WELL,09-05-2024,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230
Age of Mythology: Retold,04-09-2024,236419,29.99,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680
STAR WARS™: Battlefront Classic Collection,13-03-2024,185054,35.01,6048340.0,4.360934964168404,0,Indie,Aspyr,Aspyr,2446550
Another Crab's Treasure,25-04-2024,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840
Homeworld 3,13-05-2024,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080
Winter Memories,05-01-2024,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450
Nine Sols,28-05-2024,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540
Outpost: Infinity Siege,26-03-2024,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690
