synclite_device_id,synclite_device_name,synclite_update_timestamp,device_name,equipment_id,created_time,temperature,vibration,pressure,energy_consumption
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor1,5C51AD3A,"2024-02-24 11:18:29",70.68,0.09,1065.8,107.09
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor2,67B01AB4,"2024-02-24 11:18:29",96.97,0.05,991.75,128.8
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor3,A926CBC8,"2024-02-24 11:18:29",76.76,0.01,1073.04,198.02
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor4,21A60B05,"2024-02-24 11:18:29",84.28,0.05,1049.34,150
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor5,21242540,"2024-02-24 11:18:29",72.91,0.04,919.77,173.74
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor6,B66B0063,"2024-02-24 11:18:29",93.79,0.01,1095.66,191.14
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor7,77750A2B,"2024-02-24 11:18:29",67.95,0.07,990.38,192.09
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor8,BC6118C5,"2024-02-24 11:18:29",94.46,0.1,1044.06,149.27
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor9,7B5316BB,"2024-02-24 11:18:29",78.4,0.04,1091.13,196.28
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor10,637C04DA,"2024-02-24 11:18:29",86.98,0,976.96,152.49
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor11,6C69A818,"2024-02-24 11:18:29",79.88,0.07,918.94,184.03
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor12,11321746,"2024-02-24 11:18:29",85.85,0.05,958.48,101.42
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor13,C4389903,"2024-02-24 11:18:29",80.04,0.03,1050.98,129.21
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor14,DDB23285,"2024-02-24 11:18:29",60.74,0.05,931.96,137.77
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor15,687CB0AC,"2024-02-24 11:18:29",66.86,0.05,1058.28,193.87
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor16,10CDD9C5,"2024-02-24 11:18:29",72.95,0.09,911.98,117.48
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor17,D2792D0A,"2024-02-24 11:18:29",90.74,0.04,1065.38,118.43
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor18,38D5D135,"2024-02-24 11:18:29",96.38,0.08,909.79,195.54
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor19,CB30D929,"2024-02-24 11:18:29",68.63,0,960.72,149.16
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor20,A58553D2,"2024-02-24 11:18:29",66.79,0.07,932.12,106.02
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor21,B445B4BB,"2024-02-24 11:18:29",68.92,0.08,1056.57,136.67
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor22,BC09C286,"2024-02-24 11:18:29",68.42,0.05,1067.98,190.16
eb8ec1ea-ceb3-4361-a57e-bb708800401f,default,"2024-02-24 05:48:55",sensor23,A9A0B158,"2024-02-24 11:18:29",86.38,0.01,938.65,185.28
