Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Play A Simple Song,38 Special,38 Special,1977,3:13,4,0.521,0.367,0,-13.866,1,0.0278,0.692,0.00000252,0.108,0.789,83.412,16
Four Wheels,38 Special,38 Special,1977,4:43,4,0.535,0.71,2,-12.287,1,0.0428,0.01,0.023,0.0495,0.445,160.361,10
Fly Away,38 Special,38 Special,1977,5:13,4,0.563,0.563,2,-10.781,1,0.0263,0.0357,0.00185,0.14,0.564,106.739,13
Tell Everybody,38 Special,38 Special,1977,4:09,4,0.638,0.694,11,-10.206,0,0.031,0.161,0.0000335,0.0908,0.936,124.962,10
Just Wanna Rock & Roll,38 Special,38 Special,1977,5:57,4,0.388,0.701,2,-9.984,1,0.036,0.013,0.0422,0.115,0.769,126.769,11
Just Hang On,38 Special,38 Special,1977,5:01,3,0.545,0.522,9,-9.971,1,0.0268,0.248,0.000217,0.0704,0.373,134.086,9
Around And Around,38 Special,38 Special,1977,3:30,4,0.488,0.662,9,-9.796,1,0.0317,0.00672,0.071,0.121,0.927,174.181,18
Gypsy Belle,38 Special,38 Special,1977,4:56,4,0.689,0.654,0,-9.649,1,0.029,0.000838,0.28,0.0777,0.968,122.663,18
Long Time Gone,38 Special,38 Special,1977,4:01,4,0.599,0.816,0,-9.121,1,0.0288,0.00304,0.0251,0.137,0.96,141.475,26
Take Me Back,38 Special,Special Delivery,1978,5:17,4,0.608,0.32,0,-15.015,1,0.0285,0.414,0.000105,0.0926,0.293,128.597,15
What Can I Do,38 Special,Special Delivery,1978,4:29,4,0.585,0.59,0,-13.73,1,0.0287,0.0221,0.00000679,0.0208,0.907,115.069,19
Who's Been Messin',38 Special,Special Delivery,1978,4:16,4,0.447,0.705,7,-11.884,1,0.0289,0.0036,0.204,0.167,0.847,77.314,7
I Been A Mover,38 Special,Special Delivery,1978,4:23,4,0.523,0.794,2,-11.734,1,0.0368,0.0755,0.0124,0.308,0.755,130.459,7
I'm A Fool For You,38 Special,Special Delivery,1978,2:59,4,0.496,0.714,4,-11.633,1,0.0404,0.225,0.0000125,0.231,0.881,157.092,20
Can't Keep A Good Man Down,38 Special,Special Delivery,1978,3:19,4,0.567,0.784,0,-11.392,1,0.0302,0.061,0.0911,0.0316,0.962,132.431,7
Turnin' To You,38 Special,Special Delivery,1978,4:01,4,0.593,0.787,0,-11.306,1,0.0314,0.127,0.197,0.353,0.87,117.472,8
Travelin' Man,38 Special,Special Delivery,1978,4:18,4,0.563,0.722,2,-11.115,1,0.0317,0.0232,0.000873,0.079,0.891,123.458,10
Take Me Through The Night,38 Special,Rockin' Into The Night,1979,4:12,4,0.487,0.361,7,-14.844,1,0.0271,0.0565,0.00016,0.0759,0.475,153.774,12
You're The Captain,38 Special,Rockin' Into The Night,1979,4:26,4,0.35,0.465,9,-13.726,0,0.0352,0.297,0.000478,0.113,0.454,175,12
You Got The Deal,38 Special,Rockin' Into The Night,1979,4:55,4,0.672,0.489,2,-13.659,1,0.0382,0.0525,0.000614,0.0951,0.651,116.979,10
Money Honey,38 Special,Rockin' Into The Night,1979,3:10,4,0.668,0.6,11,-12.78,1,0.0365,0.109,0.00000718,0.256,0.96,132.878,16
Rockin' Into The Night,38 Special,Rockin' Into The Night,1979,4:01,4,0.659,0.505,0,-12.773,1,0.0302,0.053,0,0.0544,0.879,128.295,51
Robin Hood,38 Special,Rockin' Into The Night,1979,4:44,4,0.475,0.707,0,-12.463,1,0.0298,0.0146,0.721,0.0553,0.532,123.732,18
Turn It On,38 Special,Rockin' Into The Night,1979,4:34,4,0.469,0.706,10,-12.316,1,0.0327,0.122,0.0000453,0.14,0.787,146.317,12
