gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
1,67,1,91,1,1,58,2,0,55,1,58.8,1
1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1
1,65,0,68,0,0,64,0,0,75,0,57.8,1
1,56,0,52,0,2,52,2,0,66,1,59.43,0
1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1
1,55,1,49.8,1,2,67.25,2,1,55,0,51.58,0
0,46,1,49.2,1,1,79,0,0,74.28,0,53.29,0
1,82,0,64,0,2,66,2,1,67,0,62.14,1
1,73,0,79,0,1,72,0,0,91.34,0,61.29,1
1,58,0,70,0,1,61,0,0,54,0,52.21,0
1,58,0,61,0,1,60,0,1,62,1,60.85,1
1,69.6,0,68.4,0,1,78.3,0,1,60,0,63.7,1
0,47,0,55,1,2,65,0,0,62,1,65.04,0
0,77,0,87,0,1,59,0,0,68,0,68.63,1
1,62,0,47,0,1,50,0,0,76,1,54.96,0
0,65,0,75,0,1,69,0,1,72,0,64.66,1
1,63,0,66.2,0,1,65.6,0,1,60,0,62.54,1
0,55,0,67,0,1,64,0,0,60,0,67.28,0
0,63,0,66,0,1,64,0,0,68,1,64.08,0
1,60,1,67,1,0,70,0,1,50.48,0,77.89,1
1,62,1,65,1,1,66,0,0,50,1,56.7,1
0,79,1,76,1,1,85,0,0,95,0,69.06,1
0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1
0,77.4,1,60,1,2,64.74,2,1,92,0,63.62,1
1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1
0,52.58,1,54.6,0,1,50.2,0,1,76,0,65.33,0
1,71,1,79,1,1,66,0,1,94,0,57.55,1
1,63,1,67,1,1,66,0,0,68,1,57.69,1
1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1
1,62,0,67,0,1,58,0,0,77,0,51.29,0
0,64,0,73.5,0,1,73,0,0,52,1,56.7,1
0,67,0,53,0,2,65,2,0,64,1,58.32,0
0,61,0,81,0,1,66.4,0,0,50.89,1,62.21,1
0,87,1,65,1,2,81,0,1,88,0,72.78,1
1,62,1,51,1,2,52,1,0,68.44,1,62.77,0
0,69,0,78,0,1,72,0,0,71,1,62.74,1
1,51,0,44,0,1,57,0,0,64,0,51.45,0
0,79,0,76,0,2,65.6,2,0,58,1,55.47,1
0,73,1,58,1,2,66,0,0,53.7,1,56.86,1
1,81,1,68,1,2,64,2,0,93,0,62.56,1
0,78,0,77,1,1,80,0,0,60,0,66.72,1
0,74,1,63.16,1,1,65,0,1,65,1,69.76,0
1,49,1,39,0,2,65,1,0,63,0,51.21,0
1,87,1,87,1,1,68,0,0,95,1,62.9,1
0,77,1,73,1,1,81,0,1,89,0,69.7,1
0,76,0,64,0,2,72,2,0,58,1,66.53,0
0,70.89,1,71.98,1,2,65.6,0,0,68,1,71.63,0
1,63,0,60,0,1,57,0,1,78,0,54.55,1
1,63,1,62,1,1,68,0,0,64,0,62.46,1
0,50,1,37,1,0,52,1,0,65,1,56.11,0
0,75.2,0,73.2,0,2,68.4,0,0,65,1,62.98,1
1,54.4,0,61.12,0,1,56.2,0,0,67,1,62.65,0
0,40.89,1,45.83,1,1,53,0,0,71.2,1,65.49,0
1,80,1,70,1,2,72,2,0,87,1,71.04,1
0,74,0,60,1,2,69,0,0,78,1,65.56,1
1,60.4,0,66.6,1,2,65,0,0,71,1,52.71,1
1,63,1,71.4,1,1,61.4,0,0,68,0,66.88,1
1,68,0,76,0,1,74,0,0,80,0,63.59,1
1,74,0,62,1,2,68,0,0,74,0,57.99,1
1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1
1,74,0,70,0,2,72,0,1,60,0,57.24,1
1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1
0,86.5,1,64.2,1,2,67.4,2,0,59,0,59.69,1
1,61,1,70,1,1,64,0,0,68.5,1,59.5,0
1,80,1,73,1,1,75,0,0,61,0,58.78,1
