Index,Region,Hospital Name,Map Link
1,Visakhapatnam,Radha Krishna Liver & Gastro Centre,https://g.co/kgs/JBQjMCw
2,Visakhapatnam,Interventional Endoscopist,https://g.co/kgs/ACZLaVu
3,Visakhapatnam,Dr.Sreedevi's Gastro Liver & Endoscopy Clinic,https://g.co/kgs/W6Jz7XS
4,Visakhapatnam,Chaitanya Liver and Gastro Centre,https://g.co/kgs/kQJLcfu
5,Visakhapatnam,VIzag Liver Gastro,https://g.co/kgs/Hvg9K4c
6,Visakhapatnam,Dr. N. Narendranath - Consultant Gastroenterologist,https://g.co/kgs/8xi4B1R
7,Visakhapatnam,SRI SURYA GASTRO & LIVER CENTRE,https://g.co/kgs/KK3Sut1
8,Visakhapatnam,BB Das Surgical Gastroenterology Clinic,https://g.co/kgs/dQZs9NW
9,Visakhapatnam,Shreyansh Gastro And Liver Centre,https://g.co/kgs/pCNFz13
10,Visakhapatnam,Synergy Institute of Gastroenterology (SIG),https://g.co/kgs/ckyeuZE
11,Vijayawada,Harini Hospitals - Best Gastroenterologist & Liver care center,https://g.co/kgs/9CwrXGR
12,Vijayawada,Krishna Gastro & Liver Centre,https://g.co/kgs/kgmpVHf
13,Vijayawada,Sateesh Gastro & Liver Centre,https://g.co/kgs/vZvoeGF
14,Vijayawada,LINGACER Gastro Hospital,https://g.co/kgs/rrnpmXu
15,Vijayawada,Hasini hospitals,https://g.co/kgs/G2zbxJ5
16,Vijayawada,MIG| Best Gastroentology Hospital,https://g.co/kgs/vVzLuFz
17,Vijayawada,Dr. SreeDevi's American Gastro Care,https://g.co/kgs/SphtaJG
18,Vijayawada,Dr. Surendra Jasti | Best Gastrointestinal And Bariatric Surgeon,https://g.co/kgs/YaaHSBd
19,Vijayawada,Nalini Gastro Center,https://g.co/kgs/isJJ9wL
20,Vijayawada,VIKRAM GASTRO & CANCER CENTRE,https://g.co/kgs/HARgkHe
21,Guntur,Dr. Varun Palanati,https://g.co/kgs/QJNhefX
22,Guntur,Vishnu Surgical Gastro Centre,https://g.co/kgs/8DTLM3V
23,Guntur,Vutukuri Hospital,https://g.co/kgs/3rCXJuf
24,Guntur,CAREWELL SUPERSPECIALITY HOSPITAL,https://g.co/kgs/WprXHpJ
25,Guntur,MAJETY CHILDREN AND GASTRO CLINIC,https://g.co/kgs/6mt8jpp
26,Guntur,Lalitha Super Specialties Hospital - Lalitha Group Of Hospitals,https://g.co/kgs/Z5kYfXW
27,Nellore,Dr Dwarakanath Reddy Vembuluru,https://g.co/kgs/XZXmkHe
28,Nellore,Akshita hospital,https://g.co/kgs/i1g9qqU
29,Nellore,Dr Vamsi krishna P R,https://g.co/kgs/t7nHwaC
30,Nellore,Sasi Lakshman Gastro & Liver Super Speciality,https://g.co/kgs/ciivAmv
