Date,Asset,Price
2023-07-10,Bond B,385.64
2023-03-03,Stock B,297.2
2023-09-13,Bond B,75.98
2023-01-07,Bond B,356.34
2023-06-04,Stock A,260.05
2023-04-02,Bond B,65.51
2023-01-14,Commodity A,486.32
2023-08-17,Commodity A,477.1
2023-03-27,Stock A,280.81
2023-05-13,Stock B,92.15
2023-07-02,Stock B,389.58
2023-03-03,Bond B,271.37
2023-08-07,Bond B,186.1
2023-09-03,Bond B,271.14
2023-08-18,Stock B,285.1
2023-03-20,Bond A,303.22
2023-05-29,Commodity A,248.55
2023-05-18,Bond A,322.59
2023-11-10,Bond A,463.43
2023-03-06,Stock B,213.02
2023-01-13,Bond A,376.57
2023-08-01,Stock A,452.5
2023-08-30,Bond B,255.19
2023-08-01,Stock A,249.56
2023-06-30,Commodity A,320.95
2023-12-04,Bond B,316.13
2023-06-22,Bond A,412.97
2023-06-09,Commodity A,264.42
2023-06-13,Bond B,498.26
2023-07-07,Bond A,76.76
2023-07-10,Stock A,51.43
2023-11-04,Bond B,338.09
2023-09-13,Bond A,184.3
2023-07-02,Stock A,158.17
2023-04-27,Commodity A,190.35
2023-10-09,Commodity A,165.22
2023-07-15,Commodity A,63.86
2023-02-03,Commodity A,487.19
2023-02-21,Stock B,149.34
2023-04-22,Bond B,380.31
2023-09-09,Bond B,393.17
2023-03-23,Stock B,468.17
2023-08-20,Bond A,63.75
2023-08-15,Bond A,442.42
2023-08-21,Commodity A,287.25
2023-08-09,Stock A,334.64
2023-02-11,Bond A,340.01
2023-01-21,Stock A,418.91
2023-02-11,Bond B,200.03
2023-04-23,Stock A,379.87
2023-04-15,Bond B,287.86
2023-07-11,Stock B,407.03
2023-01-17,Stock B,495.75
2023-04-30,Commodity A,140.29
2023-05-09,Bond A,497.59
2023-05-10,Commodity A,90.42
2023-03-01,Bond B,51.04
2023-02-17,Commodity A,69.87
2023-01-29,Stock A,203.8
2023-04-07,Bond B,334.81
2023-01-10,Stock B,81.06
2023-08-30,Bond A,52.55
2023-11-10,Bond B,471.69
2023-08-20,Bond B,419.87
2023-10-04,Stock A,414.13
2023-10-11,Bond A,447.99
2023-07-22,Stock B,365.02
2023-09-04,Bond B,96.98
2023-10-17,Bond B,229.6
2023-09-21,Stock A,375.42
2023-08-02,Commodity A,176.15
2023-07-19,Stock B,359.33
2023-03-20,Bond A,61.02
2023-12-09,Bond B,187.76
2023-12-10,Bond B,297.11
2023-06-22,Stock B,334.44
