Skill,Image
Data science,https://cdn-icons-png.flaticon.com/512/4824/4824797.png
Programming,https://cdn-icons-png.flaticon.com/256/10817/10817310.png
Experience,https://cdn-icons-png.flaticon.com/512/3504/3504016.png
Management skill,https://cdn-icons-png.flaticon.com/512/10270/10270032.png
Data analytics,https://cdn-icons-png.flaticon.com/512/8921/8921081.png
Statistics,https://cdn-icons-png.flaticon.com/512/11473/11473508.png
Machine learning,https://cdn-icons-png.flaticon.com/512/8618/8618881.png
Data analyst,https://cdn-icons-png.flaticon.com/512/9385/9385377.png
Software,https://cdn-icons-png.flaticon.com/512/8759/8759069.png
Web skill,https://cdn-icons-png.flaticon.com/512/10438/10438224.png
Personal Skill,https://cdn-icons-png.flaticon.com/512/942/942832.png
Accounting,https://cdn-icons-png.flaticon.com/512/9503/9503519.png
Sales & marketing,https://cdn-icons-png.flaticon.com/512/8890/8890395.png
Graphic,https://cdn-icons-png.flaticon.com/512/4091/4091459.png
Content skill,https://cdn-icons-png.flaticon.com/512/10262/10262344.png
Graphical content,https://cdn-icons-png.flaticon.com/512/2503/2503644.png
Finanace,https://cdn-icons-png.flaticon.com/512/4541/4541461.png
Health/Medical,https://cdn-icons-png.flaticon.com/512/2966/2966327.png
Language,https://cdn-icons-png.flaticon.com/256/3898/3898082.png
