Image Path,Label
house_plant_species\African Violet (Saintpaulia ionantha)\1.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\10.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\100.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\101.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\102.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\103.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\104.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\105.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\106.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\107.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\108.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\109.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\11.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\110.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\111.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\112.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\113.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\114.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\115.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\116.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\117.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\118.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\119.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\12.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\120.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\121.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\122.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\123.png,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\124.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\125.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\126.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\127.JPG,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\128.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\129.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\13.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\130.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\131.JPG,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\132.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\133.JPG,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\134.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\135.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\136.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\137.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\138.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\139.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\14.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\140.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\141.jpg,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\142.JPG,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\143.JPG,African Violet (Saintpaulia ionantha)
house_plant_species\African Violet (Saintpaulia ionantha)\144.jpg,African Violet (Saintpaulia ionantha)
