Index,Name,Desc,Use,Image Link
0,African Violet (Saintpaulia ionantha),A compact flowering plant with vibrant blooms and fuzzy leaves. It thrives in indoor environments with moderate light. Regular watering and humidity help maintain its beauty.,"Used for decorative purposes, enhancing indoor aesthetics, and adding a touch of nature to homes.",https://www.google.com/search?tbm=isch&q=African+Violet+(Saintpaulia+ionantha)
1,Aloe Vera,"A succulent plant with thick, fleshy leaves filled with a soothing gel. It is easy to maintain and can grow both indoors and outdoors. It requires minimal watering and thrives in warm climates.","Used in skincare, for treating burns, digestive health, and minor wound healing.",https://www.google.com/search?tbm=isch&q=Aloe+Vera
2,Anthurium (Anthurium andraeanum),"A tropical plant known for its glossy green leaves and vibrant, heart-shaped flowers. It prefers humid conditions and indirect sunlight. Regular misting keeps the foliage healthy.","Used as a decorative plant, for air purification, and adding color to indoor spaces.",https://www.google.com/search?tbm=isch&q=Anthurium+(Anthurium+andraeanum)
3,Areca Palm (Dypsis lutescens),"A popular indoor palm with feathery, arching fronds. It helps in purifying air and adds a tropical feel to interiors. It requires bright, indirect sunlight and regular watering.","Used for improving indoor air quality, ornamental decoration, and enhancing interior aesthetics.",https://www.google.com/search?tbm=isch&q=Areca+Palm+(Dypsis+lutescens)
4,Asparagus Fern (Asparagus setaceus),"A delicate, feathery plant that adds texture and greenery to indoor spaces. It thrives in indirect light and requires moderate watering. Though not a true fern, it is popular in decorative arrangements.","Used for ornamental purposes, in hanging baskets, and as a houseplant.",https://www.google.com/search?tbm=isch&q=Asparagus+Fern+(Asparagus+setaceus)
5,Background_without_leaves,Not applicable,Not applicable,Not applicable
6,Begonia (Begonia spp.),A versatile plant with vibrant flowers and striking foliage. It thrives in partial shade and well-draining soil. It is commonly grown in gardens and indoors as a decorative plant.,"Used for ornamental gardening, landscaping, and indoor decoration.",https://www.google.com/search?tbm=isch&q=Begonia+(Begonia+spp.)
7,Bird of Paradise (Strelitzia reginae),A striking tropical plant with orange and blue flowers resembling a bird in flight. It requires bright light and warm conditions to thrive. It is a symbol of paradise and exotic beauty.,"Used in landscaping, as a statement indoor plant, and for adding a tropical touch to gardens.",https://www.google.com/search?tbm=isch&q=Bird+of+Paradise+(Strelitzia+reginae)
8,Birds Nest Fern (Asplenium nidus),"A unique fern with bright green, wavy fronds that resemble a bird’s nest. It prefers humid conditions and indirect light. It adds a lush, tropical look to indoor spaces.","Used for indoor decoration, air purification, and enhancing humidity.",https://www.google.com/search?tbm=isch&q=Birds+Nest+Fern+(Asplenium+nidus)
9,Boston Fern (Nephrolepis exaltata),"A popular fern with arching, feathery fronds that thrive in humid conditions. It requires frequent watering and indirect sunlight. It is excellent for purifying indoor air.","Used for air purification, decoration, and adding greenery to interiors.",https://www.google.com/search?tbm=isch&q=Boston+Fern+(Nephrolepis+exaltata)
10,Calathea,"A tropical plant known for its striking, patterned leaves that move with light changes. It requires high humidity and indirect light. It adds beauty to indoor gardens.",Used as an ornamental plant for indoor decoration and air purification.,https://www.google.com/search?tbm=isch&q=Calathea
11,Cast Iron Plant (Aspidistra elatior),"A hardy plant with dark green, broad leaves that tolerate low light. It requires minimal care and can withstand neglect. It thrives in various indoor conditions.",Used for low-maintenance indoor decoration and as a hardy ornamental plant.,https://www.google.com/search?tbm=isch&q=Cast+Iron+Plant+(Aspidistra+elatior)
12,Chinese Money Plant (Pilea peperomioides),A beautiful and versatile plant known for its unique foliage or flowers. It thrives in suitable growing conditions and is easy to care for. This plant adds aesthetic appeal to any indoor or outdoor space.,"Used for decorative purposes, air purification, and enhancing green spaces, making it a great addition to homes or gardens.",https://www.google.com/search?tbm=isch&q=Chinese+Money+Plant+(Pilea+peperomioides)
13,Chinese evergreen (Aglaonema),A beautiful and versatile plant known for its unique foliage or flowers. It thrives in suitable growing conditions and is easy to care for. This plant adds aesthetic appeal to any indoor or outdoor space.,"Used for decorative purposes, air purification, and enhancing green spaces, making it a great addition to homes or gardens.",https://www.google.com/search?tbm=isch&q=Chinese+evergreen+(Aglaonema)
14,Christmas Cactus (Schlumbergera bridgesii),A beautiful and versatile plant known for its unique foliage or flowers. It thrives in suitable growing conditions and is easy to care for. This plant adds aesthetic appeal to any indoor or outdoor space.,"Used for decorative purposes, air purification, and enhancing green spaces, making it a great addition to homes or gardens.",https://www.google.com/search?tbm=isch&q=Christmas+Cactus+(Schlumbergera+bridgesii)
15,Chrysanthemum,A beautiful and versatile plant known for its unique foliage or flowers. It thrives in suitable growing conditions and is easy to care for. This plant adds aesthetic appeal to any indoor or outdoor space.,"Used for decorative purposes, air purification, and enhancing green spaces, making it a great addition to homes or gardens.",https://www.google.com/search?tbm=isch&q=Chrysanthemum
16,Ctenanthe,A beautiful and versatile plant known for its unique foliage or flowers. It thrives in suitable growing conditions and is easy to care for. This plant adds aesthetic appeal to any indoor or outdoor space.,"Used for decorative purposes, air purification, and enhancing green spaces, making it a great addition to homes or gardens.",https://www.google.com/search?tbm=isch&q=Ctenanthe
