Country;iso3c;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;AFG;3,153;3,246;3,087;3,038;3,069;3,101;3,095;3,108;3,369;3,48;3,513;3,636;3,626;3,626;3,626;3,434
Angola;AGO;1,655;1,827;1,615;1,816;1,615;1,615;1,609;1,408;1,403;1,403;1,61;1,615;1,413;1,621;1,608;1,639
Albania;ALB;1,247;1,27;1,293;1,293;1,293;1,282;1,27;1,259;1,259;1,247;1,236;1,224;1,414;1,403;1,403;1,403
United Arab Emirates;ARE;1;1;1;1,213;1,238;1,241;1,253;1,264;1,477;1,517;1,563;1,598;1,833;1,701;1,689;1,678
Argentina;ARG;1,403;1,604;1,604;1,403;1,403;1,604;1,403;1,403;1,403;1,403;1,201;1,201;1,201;1,201;1,201;1,201
Armenia;ARM;2,035;2,046;2,076;2,076;2,071;2,071;2,155;2,072;2,093;2,175;2,13;2,105;1,695;1,876;1,769;1,783
Australia;AUS;1,14;1,158;1,103;1,115;1,103;1,092;1,08;1,069;1,069;1,069;1,069;1,069;1,102;1,062;1,261;1,258
Austria;AUT;1,011;1,023;1,034;1,034;1,046;1,046;1,046;1,046;1,057;1,055;1,048;1,046;1,044;1,041;1,098;1,068
Azerbaijan;AZE;2,063;2,086;2,123;2,109;2,197;2,112;2,15;2,129;2,161;2,114;2,129;2,127;1,637;1,821;1,888;1,847
Burundi;BDI;2,349;2,304;2,315;2,055;2,039;2,028;2,029;2,027;2,496;2,366;2,35;2,376;2,513;2,456;2,653;2,267
Belgium;BEL;1,037;1,048;1,06;1,062;1,057;1,057;1,057;1,062;1,078;1,087;1,327;1,133;1,188;1,135;1,123;1,084
Benin;BEN;2,208;2,208;2,208;2,208;2,208;2,006;2,006;1,407;1,43;1,458;1,462;1,49;2,117;1,749;1,74;1,763
Burkina Faso;BFA;1,604;1,604;1,604;1,403;1,403;1,403;1,403;1,407;1,43;1,458;1,669;1,927;2,016;2,459;2,91;3,005
Bangladesh;BGD;1,832;1,62;1,62;1,615;1,609;1,604;1,604;1,817;1,637;1,73;2,131;2,18;1,991;1,996;2,027;1,997
