Author,Comment,Likes,Timestamp
@harishrawatharish7428,DC 2025,0,2025-02-15T09:34:12Z
@SHAFKAT_KHAN,Incredible👍😍🤩,0,2025-02-13T11:56:04Z
@unknownnn._jayyy,"<a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=273"">4:33</a> anant ambani 😂",0,2025-02-13T07:52:38Z
@mg9854,"<a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=325"">5:25</a> wtf!?😂🤣",0,2025-02-12T05:16:04Z
@incrediblebuilding5121,Makram playing for MI,0,2025-02-11T18:41:37Z
@VikashKumar-gf3jy,Power&#39; of money 😌,0,2025-02-11T13:31:16Z
@ANKiT-th8lv,🥹🥹💙💙,0,2025-02-11T13:08:29Z
@Sai_smruti1234,Sunrisers,0,2025-02-11T10:43:05Z
@Rider_violent,Goat of ipl mumbai indians,0,2025-02-11T10:22:56Z
@MujahedMir,Match fixing hai,0,2025-02-11T09:44:19Z
@rysinhimanshu,MI franchise 🗿🏆,0,2025-02-11T09:21:06Z
@sumitvala1072,Rashid khan catches,0,2025-02-11T09:10:54Z
@User1234-x3o,As a CSK fan... 🫶🫡,0,2025-02-11T08:31:27Z
@Hemanthsai-g4j,"Ambani money 💰 <a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=777"">12:57</a>",0,2025-02-11T08:13:43Z
@Iccchampionstrophy-e4w,Nice match,0,2025-02-11T07:14:29Z
@nikalash,Markaram cant play final,0,2025-02-11T06:32:27Z
@pa5411,"Trial for 3rd odi: Rohit, Jaiswal, Kohli, Shreyas, Rahul, Jadeja, Sundar, Shami, Arshdeep, Rana, Varun",0,2025-02-11T05:07:11Z
@BharathVlogs-o5g,So in IPL we are going to Mi vs SRH in final 😊🤔🤔🤔🤔🤔🤔🤔 this season 2025😊,0,2025-02-11T04:35:58Z
@cricketaroundthecorner,trent boult you beauty,0,2025-02-11T03:39:41Z
@ManshaChauhan-t7l,👍👍👍👍☺️☺️☺️,0,2025-02-11T03:23:43Z
@JagatpalSingh-g4p,🎉🎉🎉🎉,0,2025-02-11T01:36:38Z
@NitinThakur-c3n,IPL me csk ka fan hu or SA20 me mi ka fan hu ❤❤,0,2025-02-10T16:36:13Z
@_chaudharyanurag,Ambani 😎,0,2025-02-10T15:25:30Z
@KKDSCREATION,"<a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=326"">5:26</a> 😂😂😂😂",3,2025-02-10T14:27:36Z
@abhijitsaikia6476,best T20 League after IPL,1,2025-02-10T12:28:09Z
@skmasudurrahaman6979,I think this two team also playing IPL 2025 final,0,2025-02-10T11:14:37Z
@SaurabhYewale-s2o,Rashin khan revenge time great win mi 😂❤❤,0,2025-02-10T09:39:03Z
@yuvrajsinghdeora7774,Rashid Khan the man the Captain The Bowler the leader 🎉,1,2025-02-10T09:01:09Z
@f125avinashkumarmaurya6,Rickelton plays like Quintan dicock,17,2025-02-10T08:11:28Z
@btngamer2897,Neeta ambani supreme 😅😅,1,2025-02-10T07:46:18Z
@Reo_verma,Mi again 😴,1,2025-02-10T07:45:35Z
@Pr.8732,MI knows buisness.,0,2025-02-10T07:20:30Z
